Title,Address,Latitude,Longitude,Found Address,Match Quality,Source
Aavin Milk Processing Plant,"Plot No.29 & 30,Industrial Estate, Dairy Road, Ambattur, Sidco Industrial Estate, Korattur, Chennai, Tamil Nadu 600098",13.1126747,80.1767529,"Plot No.29 & 30,Industrial Estate, Dairy Road, Ambattur, Chennai, Tamil Nadu 600098, India",Match,Google
Cheyyar Co-op Milk Chilling Factory (AAVIN) Anakkavoor,"Cheyyar Co-op Milk Chilling Factory (AAVIN) Anakkavoor, SH 5, Anakavoor, Tamil Nadu 604407",12.6449385,79.5380391,"SH 5, Anakavoor, Tamil Nadu 604407, India",Match,Google
Aavin Milk Dairy,"Kotapattu, Ramanathapuram Rd, Kajamalai, Edamalaipatti Pudur, Tiruchirappalli, Tamil Nadu 620020",10.7754299,78.7018919,"Kotapattu, Ramanathapuram Rd, Kajamalai, Edamalaipatti Pudur, Tiruchirappalli, Tamil Nadu 620020, India",Match,Google
Aavin Dairy Plant,"Siruvani Main Rd, Kurinji Nagar, Coimbatore, Tamil Nadu 641010",10.9734193,76.8714391,"Siruvani Main Rd, Coimbatore, Tamil Nadu 641010, India",Match,Google
Nandhini Hi Tech Products Plant,"Nandhini Hi Tech Products Plant,Bengaluru - Mangaluru Highway, Karnataka 573116",12.904658,76.422322,"Bengaluru - Mangaluru Highway, Karnataka 573116, India",Match,Google
Milma Thrissur Dairy,"Milma Thrissur Dairy, Mannumkad, Ramavarmapuram, Thrissur, Kerala 680631",10.5577461,76.2388596,"Mannumkad, Ramavarmapuram, Thrissur, Kerala 680631, India",Match,Google
Aavin Milk Depot,"11th Cross, Kattur, Amman Nagar, Kattur, Tiruchirappalli, Tamil Nadu 620019",10.8019553,78.753862,"11th Cross Rd, Vin Nagar, Kattur, Tiruchirappalli, Tamil Nadu 620019, India",Partial Match,Google
Aavin Milk Store,"Madhusudhan Layout, Civil Aerodrome Post, Peelamedu, Coimbatore, Tamil Nadu 641014",11.0366439,77.0395642,"Madhusudhan Layout, Civil Aerodrome Post, Peelamedu, Coimbatore, Tamil Nadu 641014, India",Match,Google
Aavin Milk Center,"Chennai Theni Hwy, National Airports Authority, National Airports Authority Colony, Pazavanthangal, Chennai, Tamil Nadu 600114",13.0826802,80.2707184,"Chennai, Tamil Nadu, India",Partial Match,Google
Aavin parlour,"Bus Stand Road, Arani Palayam, Arani, Tamil Nadu 632301",12.6724822,79.2851218,"Bus Stand Road, Arani Palayam, Arani, Tamil Nadu 632301, India",Match,Google
Nandini Milk Depot,"6th Cross Rd, MCHS Colony, Stage 2, BTM Layout, Bengaluru, Karnataka 560076",12.910253,77.6120855,"6th Cross Rd, MCHS Colony, Stage 2, BTM 2nd Stage, Bengaluru, Karnataka 560076, India",Match,Google
Milma Dairy Products Supplier,"Milma, MG Road, Poothole, Thrissur, Kerala 680667",10.5232723,76.2073973,"MG Road, Poothole, Thrissur, Kerala 680667, India",Match,Google
